place_id,location_name,address,latitude,longitude,original_place_bbox,building_id,building_bbox,final_bbox,bbox_method,building_area_m2
fda99896-ee1e-4e96-9938-77af330084e0,South Shore Gallery,2046 Otter Point Rd,48.37758101,-123.72409323,"[-123.72410583496094, 48.3775749206543, -123.72409057617188, 48.37758255004883]",,,"[-123.72410583496094, 48.3775749206543, -123.72409057617188, 48.37758255004883]",original_place,
9790d67a-8db7-4b1c-924d-08461d3c6c3a,Greenaway Realty Ltd,2044 Otter Point Rd,48.377589,-123.7240294,"[-123.72402954101562, 48.37758255004883, -123.72401428222656, 48.37759017944336]",,,"[-123.72402954101562, 48.37758255004883, -123.72401428222656, 48.37759017944336]",original_place,
6626acac-24fd-405c-a812-bceaa3acedf8,Point No Point Resort Ltd,1505 W Coast Rd,48.3773841,-123.7240054,"[-123.72400665283203, 48.377376556396484, -123.72399139404297, 48.377384185791016]",534ef88b-f3dc-4af1-ad07-6d04a480b0f5,"[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]","[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]",building,
ad49f611-9727-48fe-a5f8-edcbff24ff00,Earth To Sky Cannabis,6691 Sooke Rd,48.37736876,-123.72344684,"[-123.72344970703125, 48.37736129760742, -123.72343444824219, 48.37736892700195]",,,"[-123.72344970703125, 48.37736129760742, -123.72343444824219, 48.37736892700195]",original_place,
4b8cd0a7-36a5-4639-9266-98b021c94e08,V I Spectrum Digital & Photographic Ltd,6693 Sooke Rd,48.37719235,-123.72344891,"[-123.72344970703125, 48.3771858215332, -123.72343444824219, 48.377193450927734]",,,"[-123.72344970703125, 48.3771858215332, -123.72343444824219, 48.377193450927734]",original_place,
72e960de-4c0c-46d5-9d54-573edff69131,Up Sooke Eatery,6697 Sooke Rd,48.37710321,-123.72354343,"[-123.72355651855469, 48.37710189819336, -123.72354125976562, 48.37710952758789]",,,"[-123.72355651855469, 48.37710189819336, -123.72354125976562, 48.37710952758789]",original_place,
322c55e3-b102-4e14-908f-dd39076e505d,Cathy's Corner Cafe,6697 Sooke Rd,48.377125,-123.723398,"[-123.7234115600586, 48.37712478637695, -123.72339630126953, 48.377132415771484]",201ce6dc-7066-4fbd-bb3c-cf5be76bbc9a,"[-123.72347259521484, 48.37704086303711, -123.72322082519531, 48.37734603881836]","[-123.72347259521484, 48.37704086303711, -123.72322082519531, 48.37734603881836]",building,
574c0861-a0fe-4421-8486-f909c61df48c,This N That,6693 Sooke Rd,48.377407,-123.723184,"[-123.72319793701172, 48.37739944458008, -123.72318267822266, 48.37740707397461]",71f1e07f-2817-4cf0-b52d-62cd50463df6,"[-123.723388671875, 48.377235412597656, -123.72309875488281, 48.377532958984375]","[-123.723388671875, 48.377235412597656, -123.72309875488281, 48.377532958984375]",building,
f836aa8f-1c2c-41cc-8825-00c5a3473fea,Dr. T D Anderson,6695 Sooke Rd,48.37742759047709,-123.72326593369496,"[-123.7232666015625, 48.37742614746094, -123.72325134277344, 48.37743377685547]",71f1e07f-2817-4cf0-b52d-62cd50463df6,"[-123.723388671875, 48.377235412597656, -123.72309875488281, 48.377532958984375]","[-123.723388671875, 48.377235412597656, -123.72309875488281, 48.377532958984375]",building,
ce6e6106-104a-4c65-9c9b-9601c35047de,Lit Up Smoke and Vapour Accessories,6689C Sooke Rd,48.37743115,-123.72337468,"[-123.723388671875, 48.3774299621582, -123.72337341308594, 48.377437591552734]",,,"[-123.723388671875, 48.3774299621582, -123.72337341308594, 48.377437591552734]",original_place,
a7a9360c-5ccf-4e44-ad14-94bbd5594749,Otter Point Dental,6689 Sooke Rd,48.3774417,-123.72338349,"[-123.72339630126953, 48.37744140625, -123.72338104248047, 48.37744903564453]",,,"[-123.72339630126953, 48.37744140625, -123.72338104248047, 48.37744903564453]",original_place,
f1c6c737-5190-47ed-869d-8ad5d43038fd,Mason Financial,6689 Sooke Rd,48.3774761,-123.72337202,"[-123.72337341308594, 48.37747573852539, -123.72335815429688, 48.37748336791992]",,,"[-123.72337341308594, 48.37747573852539, -123.72335815429688, 48.37748336791992]",original_place,
67b7739f-95dd-4767-b9e7-302c529f94c5,Dominion Lending Centres Modern Mortgage Group Corp,6689 Sooke Rd,48.37754704,-123.72339119,"[-123.72340393066406, 48.377540588378906, -123.723388671875, 48.37754821777344]",,,"[-123.72340393066406, 48.377540588378906, -123.723388671875, 48.37754821777344]",original_place,
edbc8f27-83f3-4825-b913-c622c2920356,McDonald's,"RR1, Unit 107, 6661 Sooke Road",48.37758346,-123.72245108,"[-123.72246551513672, 48.37758255004883, -123.72245025634766, 48.37759017944336]",823b5a38-79ce-44c8-89ad-b81319bbf9e7,"[-123.72245788574219, 48.37736511230469, -123.72119903564453, 48.37794494628906]","[-123.72245788574219, 48.37736511230469, -123.72119903564453, 48.37794494628906]",building,
a397ad19-b719-4c7b-8814-71b873f8869c,I.D.A. - Forbes Pharmacy Sooke,6691 Logan Lane,48.377184,-123.72264,"[-123.72264099121094, 48.37717819213867, -123.72262573242188, 48.3771858215332]",,,"[-123.72264099121094, 48.37717819213867, -123.72262573242188, 48.3771858215332]",original_place,
cc43298b-c61b-4c4f-a414-caf733bcea7d,I.D.A.,6691 Logan Lane,48.377184,-123.72264,"[-123.72264099121094, 48.37717819213867, -123.72262573242188, 48.3771858215332]",,,"[-123.72264099121094, 48.37717819213867, -123.72262573242188, 48.3771858215332]",original_place,
